origin_code,origin_airport,origin_city,origin_state,dest_code,dest_airport,dest_city,dest_state,count
LIH,Lihue Airport,Lihue,HI,DEN,Denver International Airport,Denver,CO,41
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,MCO,Orlando International Airport,Orlando,FL,34
PSP,Palm Springs International Airport,Palm Springs,CA,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,32
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,BDL,Bradley International Airport,Windsor Locks,CT,12
HOU,William P. Hobby Airport,Houston,TX,PDX,Portland International Airport,Portland,OR,63
FAT,Fresno Yosemite International Airport,Fresno,CA,LAX,Los Angeles International Airport,Los Angeles,CA,1693
MCO,Orlando International Airport,Orlando,FL,SFO,San Francisco International Airport,San Francisco,CA,799
PVD,Theodore Francis Green State Airport,Providence,RI,TPA,Tampa International Airport,Tampa,FL,676
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,335
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,1155
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,SFO,San Francisco International Airport,San Francisco,CA,5
MCO,Orlando International Airport,Orlando,FL,PVD,Theodore Francis Green State Airport,Providence,RI,2032
DTW,Detroit Metropolitan Airport,Detroit,MI,MKE,General Mitchell International Airport,Milwaukee,WI,1730
ORD,Chicago O'Hare International Airport,Chicago,IL,FWA,Fort Wayne International Airport,Fort Wayne,IN,2261
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,PVD,Theodore Francis Green State Airport,Providence,RI,787
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,BTV,Burlington International Airport,Burlington,VT,1023
SLC,Salt Lake City International Airport,Salt Lake City,UT,CNY,Canyonlands Field,Moab,UT,206
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,95
WRG,Wrangell Airport,Wrangell,AK,PSG,Petersburg James A. Johnson Airport,Petersburg,AK,332
LAX,Los Angeles International Airport,Los Angeles,CA,PIT,Pittsburgh International Airport,Pittsburgh,PA,254
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,SDF,Louisville International Airport (Standiford Field),Louisville,KY,298
BWI,Baltimore-Washington International Airport,Baltimore,MD,MDW,Chicago Midway International Airport,Chicago,IL,1976
PSC,Tri-Cities Airport,Pasco,WA,SLC,Salt Lake City International Airport,Salt Lake City,UT,931
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,BOI,Boise Airport (Boise Air Terminal),Boise,ID,702
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,278
MLI,Quad City International Airport,Moline,IL,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,65
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,CLT,Charlotte Douglas International Airport,Charlotte,NC,6
MKE,General Mitchell International Airport,Milwaukee,WI,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,18
CMH,Port Columbus International Airport,Columbus,OH,OAK,Oakland International Airport,Oakland,CA,114
SMF,Sacramento International Airport,Sacramento,CA,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,3164
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,1821
FAR,Hector International Airport,Fargo,ND,DEN,Denver International Airport,Denver,CO,1226
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,973
CAK,Akron-Canton Regional Airport,Akron,OH,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2042
SFO,San Francisco International Airport,San Francisco,CA,BOI,Boise Airport (Boise Air Terminal),Boise,ID,1403
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,HOU,William P. Hobby Airport,Houston,TX,1571
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,3197
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,ORD,Chicago O'Hare International Airport,Chicago,IL,4115
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,LAX,Los Angeles International Airport,Los Angeles,CA,1460
EWR,Newark Liberty International Airport,Newark,NJ,CMH,Port Columbus International Airport,Columbus,OH,912
SMF,Sacramento International Airport,Sacramento,CA,OGG,Kahului Airport,Kahului,HI,334
ORD,Chicago O'Hare International Airport,Chicago,IL,BUF,Buffalo Niagara International Airport,Buffalo,NY,2005
HPN,Westchester County Airport,White Plains,NY,MCO,Orlando International Airport,Orlando,FL,1245
IND,Indianapolis International Airport,Indianapolis,IN,TPA,Tampa International Airport,Tampa,FL,906
DEN,Denver International Airport,Denver,CO,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,418
IND,Indianapolis International Airport,Indianapolis,IN,IAH,George Bush Intercontinental Airport,Houston,TX,906
BUF,Buffalo Niagara International Airport,Buffalo,NY,BWI,Baltimore-Washington International Airport,Baltimore,MD,1808
ORD,Chicago O'Hare International Airport,Chicago,IL,CAE,Columbia Metropolitan Airport,Columbia,SC,595
MDW,Chicago Midway International Airport,Chicago,IL,GSP,Greenville-Spartanburg International Airport,Greer,SC,629
MIA,Miami International Airport,Miami,FL,BNA,Nashville International Airport,Nashville,TN,51
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,288
CLT,Charlotte Douglas International Airport,Charlotte,NC,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,196
ADQ,Kodiak Airport,Kodiak,AK,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,460
ORD,Chicago O'Hare International Airport,Chicago,IL,MYR,Myrtle Beach International Airport,Myrtle Beach,SC,242
MKE,General Mitchell International Airport,Milwaukee,WI,DEN,Denver International Airport,Denver,CO,2009
MCI,Kansas City International Airport,Kansas City,MO,DEN,Denver International Airport,Denver,CO,2124
MIA,Miami International Airport,Miami,FL,DTW,Detroit Metropolitan Airport,Detroit,MI,1199
STL,St. Louis International Airport at Lambert Field,St Louis,MO,BWI,Baltimore-Washington International Airport,Baltimore,MD,1193
IAD,Washington Dulles International Airport,Chantilly,VA,SEA,Seattle-Tacoma International Airport,Seattle,WA,1071
CLE,Cleveland Hopkins International Airport,Cleveland,OH,DEN,Denver International Airport,Denver,CO,1239
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,SFO,San Francisco International Airport,San Francisco,CA,1043
SLC,Salt Lake City International Airport,Salt Lake City,UT,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,522
DEN,Denver International Airport,Denver,CO,RAP,Rapid City Regional Airport,Rapid City,SD,589
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,SFO,San Francisco International Airport,San Francisco,CA,1244
APN,Alpena County Regional Airport,Alpena,MI,DTW,Detroit Metropolitan Airport,Detroit,MI,573
BNA,Nashville International Airport,Nashville,TN,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,388
MCO,Orlando International Airport,Orlando,FL,MHT,Manchester-Boston Regional Airport,Manchester,NH,700
LAX,Los Angeles International Airport,Los Angeles,CA,SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,1372
MCO,Orlando International Airport,Orlando,FL,DAY,James M. Cox Dayton International Airport,Dayton,OH,348
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,395
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,TUL,Tulsa International Airport,Tulsa,OK,590
DEN,Denver International Airport,Denver,CO,ABQ,Albuquerque International Sunport,Albuquerque,NM,1660
MTJ,Montrose Regional Airport,Montrose,CO,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,38
SJU,Luis Muñoz Marín International Airport,San Juan,PR,DTW,Detroit Metropolitan Airport,Detroit,MI,25
SWF,Stewart International Airport,Newburgh,NY,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,1
CLE,Cleveland Hopkins International Airport,Cleveland,OH,MYR,Myrtle Beach International Airport,Myrtle Beach,SC,169
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,CLE,Cleveland Hopkins International Airport,Cleveland,OH,169
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,OKC,Will Rogers World Airport,Oklahoma City,OK,1
FAT,Fresno Yosemite International Airport,Fresno,CA,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,196
FCA,Glacier Park International Airport,Kalispell,MT,MSO,Missoula International Airport,Missoula,MT,1
EGE,Eagle County Regional Airport,Eagle,CO,SLC,Salt Lake City International Airport,Salt Lake City,UT,3
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,4146
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,5044
CLE,Cleveland Hopkins International Airport,Cleveland,OH,IAH,George Bush Intercontinental Airport,Houston,TX,1151
SCE,University Park Airport,State College,PA,DTW,Detroit Metropolitan Airport,Detroit,MI,211
LAS,McCarran International Airport,Las Vegas,NV,ORD,Chicago O'Hare International Airport,Chicago,IL,4249
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,SFO,San Francisco International Airport,San Francisco,CA,4313
SEA,Seattle-Tacoma International Airport,Seattle,WA,DTW,Detroit Metropolitan Airport,Detroit,MI,1892
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,BWI,Baltimore-Washington International Airport,Baltimore,MD,3961
LAX,Los Angeles International Airport,Los Angeles,CA,MCO,Orlando International Airport,Orlando,FL,2417
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,LAS,McCarran International Airport,Las Vegas,NV,1026
LAS,McCarran International Airport,Las Vegas,NV,AUS,Austin-Bergstrom International Airport,Austin,TX,1200
SAT,San Antonio International Airport,San Antonio,TX,LAS,McCarran International Airport,Las Vegas,NV,1275
GEG,Spokane International Airport,Spokane,WA,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,770
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,TUS,Tucson International Airport,Tucson,AZ,1155
LAS,McCarran International Airport,Las Vegas,NV,OKC,Will Rogers World Airport,Oklahoma City,OK,664
IAH,George Bush Intercontinental Airport,Houston,TX,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,1772
DEN,Denver International Airport,Denver,CO,SHV,Shreveport Regional Airport,Shreveport,LA,318
IAH,George Bush Intercontinental Airport,Houston,TX,BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,21
BWI,Baltimore-Washington International Airport,Baltimore,MD,GRR,Gerald R. Ford International Airport,Grand Rapids,MI,647
HNL,Honolulu International Airport,Honolulu,HI,DEN,Denver International Airport,Denver,CO,334
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,JAC,Jackson Hole Airport,Jackson,WY,4
IAD,Washington Dulles International Airport,Chantilly,VA,TTN,Trenton Mercer Airport,Trenton,NJ,1
RDU,Raleigh-Durham International Airport,Raleigh,NC,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,6
SLC,Salt Lake City International Airport,Salt Lake City,UT,MIA,Miami International Airport,Miami,FL,162
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,19
PHL,Philadelphia International Airport,Philadelphia,PA,IAH,George Bush Intercontinental Airport,Houston,TX,2176
LAX,Los Angeles International Airport,Los Angeles,CA,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,6649
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,MIA,Miami International Airport,Miami,FL,546
MGM,Montgomery Regional Airport,Montgomery,AL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2202
CLT,Charlotte Douglas International Airport,Charlotte,NC,MIA,Miami International Airport,Miami,FL,2983
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,ORD,Chicago O'Hare International Airport,Chicago,IL,934
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,1760
BWI,Baltimore-Washington International Airport,Baltimore,MD,DEN,Denver International Airport,Denver,CO,1904
CLT,Charlotte Douglas International Airport,Charlotte,NC,PBI,Palm Beach International Airport,West Palm Beach,FL,1617
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,193
SLC,Salt Lake City International Airport,Salt Lake City,UT,STL,St. Louis International Airport at Lambert Field,St Louis,MO,478
CLT,Charlotte Douglas International Airport,Charlotte,NC,SJU,Luis Muñoz Marín International Airport,San Juan,PR,711
ELP,El Paso International Airport,El Paso,TX,LAS,McCarran International Airport,Las Vegas,NV,652
SLC,Salt Lake City International Airport,Salt Lake City,UT,SUN,Friedman Memorial Airport,Hailey,ID,674
OKC,Will Rogers World Airport,Oklahoma City,OK,MDW,Chicago Midway International Airport,Chicago,IL,337
MDT,Harrisburg International Airport,Harrisburg,PA,DTW,Detroit Metropolitan Airport,Detroit,MI,525
LCH,Lake Charles Regional Airport,Lake Charles,LA,IAH,George Bush Intercontinental Airport,Houston,TX,1078
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,SFO,San Francisco International Airport,San Francisco,CA,694
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,ORF,Norfolk International Airport,Norfolk,VA,126
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,IMT,Ford Airport,Iron Mountain/Kingsford,MI,287
DAL,Dallas Love Field,Dallas,TX,ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,597
TVC,Cherry Capital Airport,Traverse City,MI,DTW,Detroit Metropolitan Airport,Detroit,MI,756
TTN,Trenton Mercer Airport,Trenton,NJ,CLT,Charlotte Douglas International Airport,Charlotte,NC,298
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,ATW,Appleton International Airport,Appleton,WI,511
MHT,Manchester-Boston Regional Airport,Manchester,NH,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,136
PIT,Pittsburgh International Airport,Pittsburgh,PA,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,164
PHL,Philadelphia International Airport,Philadelphia,PA,CLE,Cleveland Hopkins International Airport,Cleveland,OH,104
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,DTW,Detroit Metropolitan Airport,Detroit,MI,136
CLE,Cleveland Hopkins International Airport,Cleveland,OH,SEA,Seattle-Tacoma International Airport,Seattle,WA,151
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,DSM,Des Moines International Airport,Des Moines,IA,1
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,SFO,San Francisco International Airport,San Francisco,CA,1863
MDW,Chicago Midway International Airport,Chicago,IL,TPA,Tampa International Airport,Tampa,FL,1450
BTV,Burlington International Airport,Burlington,VT,ORD,Chicago O'Hare International Airport,Chicago,IL,537
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,IAH,George Bush Intercontinental Airport,Houston,TX,1067
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,805
LAS,McCarran International Airport,Las Vegas,NV,CMH,Port Columbus International Airport,Columbus,OH,620
DEN,Denver International Airport,Denver,CO,CLE,Cleveland Hopkins International Airport,Cleveland,OH,1369
GNV,Gainesville Regional Airport,Gainesville,FL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2089
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,SLC,Salt Lake City International Airport,Salt Lake City,UT,1850
MIA,Miami International Airport,Miami,FL,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,254
DEN,Denver International Airport,Denver,CO,SDF,Louisville International Airport (Standiford Field),Louisville,KY,595
IAH,George Bush Intercontinental Airport,Houston,TX,GSP,Greenville-Spartanburg International Airport,Greer,SC,501
SLC,Salt Lake City International Airport,Salt Lake City,UT,RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,599
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,ALB,Albany International Airport,Albany,NY,937
MCO,Orlando International Airport,Orlando,FL,MEM,Memphis International Airport,Memphis,TN,383
BWI,Baltimore-Washington International Airport,Baltimore,MD,SEA,Seattle-Tacoma International Airport,Seattle,WA,695
MCO,Orlando International Airport,Orlando,FL,PWM,Portland International Jetport,Portland,ME,7
ECP,Northwest Florida Beaches International Airport,Panama City,FL,DAL,Dallas Love Field,Dallas,TX,152
SEA,Seattle-Tacoma International Airport,Seattle,WA,CLE,Cleveland Hopkins International Airport,Cleveland,OH,151
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,PWM,Portland International Jetport,Portland,ME,54
SLC,Salt Lake City International Airport,Salt Lake City,UT,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,98
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,84
ORD,Chicago O'Hare International Airport,Chicago,IL,COD,Yellowstone Regional Airport,Cody,WY,9
CLT,Charlotte Douglas International Airport,Charlotte,NC,SGF,Springfield-Branson National Airport,Springfield,MO,114
SEA,Seattle-Tacoma International Airport,Seattle,WA,BIL,Billings Logan International Airport,Billings,MT,13
GSP,Greenville-Spartanburg International Airport,Greer,SC,MIA,Miami International Airport,Miami,FL,1
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2208
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,DTW,Detroit Metropolitan Airport,Detroit,MI,2717
SLC,Salt Lake City International Airport,Salt Lake City,UT,IAH,George Bush Intercontinental Airport,Houston,TX,2000
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,MIA,Miami International Airport,Miami,FL,3594
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,3644
DAL,Dallas Love Field,Dallas,TX,IAH,George Bush Intercontinental Airport,Houston,TX,481
ACY,Atlantic City International Airport,Atlantic City,NJ,MYR,Myrtle Beach International Airport,Myrtle Beach,SC,334
BNA,Nashville International Airport,Nashville,TN,MIA,Miami International Airport,Miami,FL,52
EWR,Newark Liberty International Airport,Newark,NJ,TPA,Tampa International Airport,Tampa,FL,2110
MIA,Miami International Airport,Miami,FL,TPA,Tampa International Airport,Tampa,FL,1998
MEM,Memphis International Airport,Memphis,TN,MCO,Orlando International Airport,Orlando,FL,383
IAH,George Bush Intercontinental Airport,Houston,TX,DEN,Denver International Airport,Denver,CO,4513
ACY,Atlantic City International Airport,Atlantic City,NJ,MCO,Orlando International Airport,Orlando,FL,794
EWR,Newark Liberty International Airport,Newark,NJ,DAY,James M. Cox Dayton International Airport,Dayton,OH,754
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,1930
STL,St. Louis International Airport at Lambert Field,St Louis,MO,TPA,Tampa International Airport,Tampa,FL,731
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,666
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,97
CLT,Charlotte Douglas International Airport,Charlotte,NC,STT,Cyril E. King Airport,Charlotte Amalie,VI,363
DTW,Detroit Metropolitan Airport,Detroit,MI,PHL,Philadelphia International Airport,Philadelphia,PA,1989
DCA,Ronald Reagan Washington National Airport,Arlington,VA,EWR,Newark Liberty International Airport,Newark,NJ,1516
CLT,Charlotte Douglas International Airport,Charlotte,NC,SYR,Syracuse Hancock International Airport,Syracuse,NY,594
IAD,Washington Dulles International Airport,Chantilly,VA,CMH,Port Columbus International Airport,Columbus,OH,36
PHL,Philadelphia International Airport,Philadelphia,PA,IND,Indianapolis International Airport,Indianapolis,IN,421
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,405
BDL,Bradley International Airport,Windsor Locks,CT,RDU,Raleigh-Durham International Airport,Raleigh,NC,183
SLC,Salt Lake City International Airport,Salt Lake City,UT,IND,Indianapolis International Airport,Indianapolis,IN,86
PHL,Philadelphia International Airport,Philadelphia,PA,SMF,Sacramento International Airport,Sacramento,CA,75
MCI,Kansas City International Airport,Kansas City,MO,DLH,Duluth International Airport,Duluth,MN,1
CRP,Corpus Christi International Airport,Corpus Christi,TX,IAH,George Bush Intercontinental Airport,Houston,TX,2140
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2224
DEN,Denver International Airport,Denver,CO,SEA,Seattle-Tacoma International Airport,Seattle,WA,5139
CMH,Port Columbus International Airport,Columbus,OH,MIA,Miami International Airport,Miami,FL,593
BDL,Bradley International Airport,Windsor Locks,CT,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2341
DCA,Ronald Reagan Washington National Airport,Arlington,VA,ORD,Chicago O'Hare International Airport,Chicago,IL,5922
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,DAL,Dallas Love Field,Dallas,TX,1216
IAD,Washington Dulles International Airport,Chantilly,VA,MDW,Chicago Midway International Airport,Chicago,IL,676
DEN,Denver International Airport,Denver,CO,PSP,Palm Springs International Airport,Palm Springs,CA,989
MCO,Orlando International Airport,Orlando,FL,ILG,Wilmington Airport,Wilmington,DE,64
MDW,Chicago Midway International Airport,Chicago,IL,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,332
PHL,Philadelphia International Airport,Philadelphia,PA,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,359
SFO,San Francisco International Airport,San Francisco,CA,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,213
AUS,Austin-Bergstrom International Airport,Austin,TX,IAD,Washington Dulles International Airport,Chantilly,VA,109
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,HNL,Honolulu International Airport,Honolulu,HI,45
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,7411
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,8234
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,DEN,Denver International Airport,Denver,CO,2398
SJU,Luis Muñoz Marín International Airport,San Juan,PR,STT,Cyril E. King Airport,Charlotte Amalie,VI,668
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,DEN,Denver International Airport,Denver,CO,1584
LAX,Los Angeles International Airport,Los Angeles,CA,ASE,Aspen-Pitkin County Airport,Aspen,CO,775
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,2633
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,BWI,Baltimore-Washington International Airport,Baltimore,MD,1039
RSW,Southwest Florida International Airport,Ft. Myers,FL,MKE,General Mitchell International Airport,Milwaukee,WI,524
TPA,Tampa International Airport,Tampa,FL,IND,Indianapolis International Airport,Indianapolis,IN,911
PSP,Palm Springs International Airport,Palm Springs,CA,SEA,Seattle-Tacoma International Airport,Seattle,WA,839
IAH,George Bush Intercontinental Airport,Houston,TX,ISN,Sloulin Field International Airport,Williston,ND,321
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,334
MCO,Orlando International Airport,Orlando,FL,PIT,Pittsburgh International Airport,Pittsburgh,PA,1464
MIA,Miami International Airport,Miami,FL,STL,St. Louis International Airport at Lambert Field,St Louis,MO,601
CLL,Easterwood Airport,College Station,TX,IAH,George Bush Intercontinental Airport,Houston,TX,707
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,GEG,Spokane International Airport,Spokane,WA,770
